class,feature,min,max
Class 0,136,-0.207,-0.036
Class 0,137,-0.998,-0.045
Class 0,141,,-0.623
Class 0,143,0.168,0.985
Class 0,146,-0.809,-0.766
Class 0,148,0.768,0.886
Class 0,149,0.825,
Class 0,152,0.703,0.846
Class 0,153,0.137,
Class 0,154,0.987,0.987
Class 0,157,0.955,0.955
Class 0,158,,0.807
Class 0,159,0.809,0.809
Class 0,161,-0.535,-0.535
Class 0,162,0.622,
Class 0,164,-0.911,-0.911
Class 0,165,-0.616,-0.042
Class 0,166,0.148,0.148
Class 0,167,-0.12,-0.12
Class 0,168,-0.814,-0.3
Class 0,169,-0.959,-0.365
Class 0,170,-0.572,-0.572
Class 0,171,0.169,0.169
Class 0,174,-0.602,0.285
Class 0,175,0.93,0.952
Class 0,176,0.466,
Class 0,179,0.677,0.677
Class 0,183,,0.979
Class 0,184,0.84,0.84
Class 0,185,0.435,0.647
Class 0,186,0.264,0.844
Class 0,187,-0.328,0.945
Class 0,188,,-0.212
Class 0,189,-0.238,-0.152
Class 0,190,0.998,0.998
Class 0,192,-0.984,
Class 0,194,-0.436,-0.436
Class 0,196,-0.957,
Class 0,197,-0.793,-0.793
Class 0,199,-0.194,
Class 0,200,-0.867,
Class 0,201,-0.39,-0.39
Class 0,202,-0.957,-0.957
Class 0,203,-0.893,-0.512
Class 0,204,-0.519,
Class 0,207,,0.511
Class 0,209,-0.671,0.996
Class 0,210,0.724,0.724
Class 0,211,-0.256,
Class 0,213,,0.631
Class 0,216,0.679,0.998
Class 0,219,0.146,0.956
Class 0,220,-0.955,-0.955
Class 0,222,0.258,0.258
Class 0,223,-0.548,-0.548
Class 0,224,-0.779,-0.679
Class 0,225,-0.149,
Class 0,226,-0.81,0.15
Class 0,228,-0.27,
Class 0,229,-0.733,0.529
Class 0,232,-0.609,-0.552
Class 0,236,,0.223
Class 0,238,0.614,0.614
Class 0,239,0.494,0.861
Class 0,240,0.671,0.978
Class 0,241,0.932,0.967
Class 0,242,0.282,0.691
Class 0,243,0.675,0.675
Class 0,247,0.475,
Class 0,252,,0.788
Class 0,257,-0.594,-0.248
Class 0,258,0.763,
Class 0,260,0.571,0.571
Class 0,261,0.905,0.905
Class 0,263,0.693,0.693
Class 0,269,-0.675,-0.675
Class 0,270,0.918,0.918
Class 0,272,,0.89
Class 0,273,,0.977
Class 0,275,0.199,0.973
Class 0,276,,0.348
Class 0,277,,0.761
Class 0,280,0.748,
Class 0,288,-0.825,0.174
Class 0,289,0.608,
Class 0,291,-0.03,-0.03
Class 0,293,0.291,
Class 0,294,-0.812,
Class 0,295,0.088,0.128
Class 0,298,-0.189,-0.189
Class 0,301,-0.331,
Class 0,302,-0.893,0.111
Class 0,303,-0.62,0.986
Class 0,304,0.32,0.971
Class 0,309,,0.137
Class 0,311,0.975,0.977
Class 0,313,,0.937
Class 0,314,0.936,0.936
Class 0,315,-0.83,-0.83
Class 0,316,0.81,0.81
Class 0,320,,0.818
Class 0,324,-0.865,-0.865
Class 0,326,-0.994,-0.994
Class 0,327,-0.782,-0.782
Class 0,329,-0.781,-0.781
Class 0,331,,0.905
Class 0,332,,0.97
Class 0,333,0.586,
Class 0,335,0.853,0.853
Class 0,336,0.998,0.998
Class 0,337,0.018,0.898
Class 0,338,,-0.412
Class 0,340,-0.769,0.942
Class 0,344,,-0.883
Class 0,348,,-0.987
Class 0,352,-0.979,-0.979
Class 0,353,-0.944,
Class 0,359,-0.998,-0.998
Class 0,360,-0.91,-0.91
Class 0,362,-0.967,-0.967
Class 0,363,-0.275,
Class 0,364,-0.186,0.996
Class 0,366,0.923,0.974
Class 0,367,0.794,0.794
Class 0,371,-0.677,
Class 0,372,-0.867,
Class 0,374,-0.847,-0.782
Class 0,376,-0.888,-0.888
Class 0,381,,-0.886
Class 0,384,-0.752,-0.752
Class 0,385,-0.964,-0.831
Class 0,386,,0.342
Class 0,389,,-0.282
Class 0,391,-0.902,-0.902
Class 0,392,-0.82,-0.82
Class 0,393,-0.953,-0.36
Class 0,394,-0.997,-0.333
Class 0,395,-0.888,-0.421
Class 0,396,-0.64,-0.498
Class 0,398,-0.563,-0.649
Class 0,399,,-0.752
Class 0,401,-0.67,0.433
Class 0,402,-0.028,-0.028
Class 0,403,,-0.442
Class 0,404,-0.865,-0.221
Class 0,405,-0.979,
Class 0,408,-0.607,
Class 0,409,-0.317,-0.317
Class 0,410,,-0.357
Class 0,412,,-0.668
Class 0,414,-0.977,-0.068
Class 0,416,-0.622,-0.622
Class 0,418,-0.242,-0.242
Class 0,426,-0.843,-0.843
Class 0,427,-0.986,-0.986
Class 0,429,-0.786,
Class 0,430,-0.971,-0.971
Class 0,431,-0.928,-0.928
Class 0,435,0.443,
Class 0,436,-0.986,-0.986
Class 0,438,,-0.9
Class 0,440,0.014,
Class 0,442,,0.729
Class 0,449,-0.9,
Class 0,452,0.389,0.965
Class 0,453,0.479,0.479
Class 0,454,-0.874,
Class 0,456,-0.05,
Class 0,459,0.581,0.581
Class 0,460,,0.548
Class 0,461,0.219,0.253
Class 0,464,,0.787
Class 0,467,,-0.042
Class 0,470,0.966,0.966
Class 0,471,0.47,0.726
Class 0,472,-0.793,0.513
Class 0,473,-0.206,-0.206
Class 0,474,-0.979,
Class 0,475,,0.987
Class 0,476,0.033,0.965
Class 0,477,0.53,
Class 0,478,0.254,0.254
Class 0,479,-0.838,0.233
Class 0,483,,0.265
Class 0,486,,0.714
Class 0,487,0.681,0.681
Class 0,488,0.537,0.537
Class 0,495,0.278,0.278
Class 0,496,-0.344,-0.344
Class 0,497,-0.12,-0.12
Class 0,498,0.162,
Class 0,499,0.024,0.73
Class 0,500,-0.222,
Class 0,501,,0.439
Class 0,503,,0.98
Class 0,504,-0.137,0.887
Class 0,505,-0.072,-0.072
Class 0,506,-0.401,
Class 0,507,-0.582,0.444
Class 0,508,,0.606
Class 0,509,-0.661,-0.661
Class 0,510,-0.685,-0.398
Class 0,511,-0.876,-0.693
Class 0,512,0.502,0.86
Class 0,513,0.763,0.763
Class 0,514,-0.104,0.811
Class 0,515,-0.366,0.777
Class 0,516,,-0.295
Class 0,517,-0.697,
Class 0,518,0.079,0.318
Class 0,519,0.751,0.993
Class 0,520,0.45,0.954
Class 0,521,0.988,0.988
Class 0,525,0.29,0.375
Class 0,526,,0.799
Class 0,528,-0.193,-0.193
Class 0,529,-0.272,-0.017
Class 0,530,0.967,0.967
Class 0,531,0.394,0.991
Class 0,533,-0.32,-0.32
Class 0,534,-0.402,0.826
Class 0,536,-0.669,
Class 0,537,0.456,
Class 0,539,,0.567
Class 0,540,-0.271,0.001
Class 0,541,0.389,0.389
Class 0,542,-0.512,0.722
Class 0,544,0.026,0.9
Class 0,545,0.609,0.866
Class 0,546,-0.106,0.474
Class 0,547,-0.047,-0.047
Class 0,548,-0.044,-0.044
Class 0,549,0.411,
Class 0,551,0.711,0.99
Class 0,552,0.514,0.514
Class 0,553,0.593,0.707
Class 0,558,0.639,
Class 0,560,-0.128,
Class 0,561,-0.112,-0.112
Class 0,565,-0.267,-0.191
Class 0,566,0.082,0.082
Class 0,567,-0.596,0.981
Class 0,568,-0.597,
Class 0,569,0.588,
Class 0,570,-0.369,0.815
Class 0,572,-0.432,-0.122
Class 0,573,-0.174,0.945
Class 0,574,0.352,
Class 0,576,-1.0,-0.997
Class 0,577,0.0,
Class 0,582,,-0.2
Class 0,583,-0.567,
Class 0,587,-0.275,-0.275
Class 0,588,-0.292,-0.292
Class 0,592,0.83,0.83
Class 0,593,,0.707
Class 0,594,-0.245,
Class 0,595,0.082,0.993
Class 0,596,,0.963
Class 0,597,0.912,0.994
Class 0,602,0.524,0.524
Class 0,606,-0.075,0.656
Class 0,609,0.219,0.219
Class 0,612,0.348,0.348
Class 0,613,-0.127,-0.127
Class 0,615,-0.544,-0.347
Class 1,0,-0.967,-0.967
Class 1,1,0.681,0.216
Class 1,2,,0.702
Class 1,4,0.621,0.621
Class 1,5,0.399,
Class 1,7,-0.995,-0.995
Class 1,8,,0.498
Class 1,9,,0.069
Class 1,11,-0.681,
Class 1,12,-0.515,
Class 1,14,0.105,
Class 1,15,0.664,0.592
Class 1,18,,0.223
Class 1,19,0.489,0.983
Class 1,20,0.325,0.976
Class 1,21,0.698,0.989
Class 1,27,0.948,0.948
Class 1,28,0.951,0.951
Class 1,30,,0.034
Class 1,31,0.927,0.927
Class 1,34,,0.58
Class 1,37,-0.114,
Class 1,39,,0.353
Class 1,41,-0.817,-0.03
Class 1,42,-0.056,
Class 1,46,0.979,0.979
Class 1,47,,0.828
Class 1,48,0.204,
Class 1,49,0.105,0.105
Class 1,51,0.588,0.888
Class 1,52,0.528,0.528
Class 1,53,0.99,0.99
Class 1,55,0.926,
Class 1,57,,-0.474
Class 1,61,0.425,
Class 1,65,-0.399,-0.399
Class 1,66,0.405,0.405
Class 1,68,0.518,0.877
Class 1,72,,-0.576
Class 1,73,,0.271
Class 1,74,-0.906,0.151
Class 1,76,0.382,0.105
Class 1,77,0.646,
Class 1,79,0.652,0.854
Class 1,81,0.822,
Class 1,83,0.439,0.996
Class 1,84,0.619,0.619
Class 1,87,0.553,
Class 1,92,0.339,
Class 1,94,0.983,
Class 1,95,0.997,0.997
Class 1,96,-0.536,-0.536
Class 1,99,-0.526,-0.526
Class 1,100,0.084,0.897
Class 1,104,,0.063
Class 1,105,,0.393
Class 1,106,,0.06
Class 1,111,-0.316,0.994
Class 1,112,-0.621,-0.621
Class 1,113,0.138,0.996
Class 1,114,0.996,0.996
Class 1,115,-0.624,0.782
Class 1,116,0.502,0.973
Class 1,117,0.659,0.659
Class 1,119,0.842,0.981
Class 1,120,0.12,
Class 1,122,0.987,0.988
Class 1,124,-0.565,-0.565
Class 1,125,-0.71,0.469
Class 1,128,-0.985,-0.985
Class 1,129,0.081,0.081
Class 1,130,0.211,
Class 1,131,0.274,
Class 1,134,0.858,
Class 1,135,,-0.949
Class 1,136,-0.497,-0.036
Class 1,137,-0.998,-0.045
Class 1,141,-0.623,
Class 1,143,0.168,0.985
Class 1,146,-0.766,-0.766
Class 1,148,0.716,0.768
Class 1,149,,0.825
Class 1,152,0.846,0.846
Class 1,153,0.137,0.137
Class 1,154,0.437,0.987
Class 1,158,0.807,0.807
Class 1,159,0.809,0.809
Class 1,161,-0.535,-0.535
Class 1,162,,0.622
Class 1,164,-0.911,-0.911
Class 1,165,-0.616,-0.616
Class 1,166,,0.148
Class 1,167,-0.12,-0.12
Class 1,168,-0.814,-0.3
Class 1,169,-0.365,-0.365
Class 1,170,-0.572,-0.572
Class 1,171,,0.169
Class 1,174,0.285,-0.602
Class 1,175,0.93,
Class 1,176,,0.466
Class 1,179,0.677,0.677
Class 1,183,0.979,0.979
Class 1,184,0.365,0.84
Class 1,185,0.435,0.647
Class 1,186,0.264,0.844
Class 1,187,-0.328,-0.089
Class 1,188,-0.212,
Class 1,189,-0.238,-0.152
Class 1,190,0.998,
Class 1,192,-0.984,-0.984
Class 1,194,-0.436,-0.436
Class 1,196,-0.957,-0.957
Class 1,197,-0.793,-0.793
Class 1,199,,-0.194
Class 1,200,-0.867,-0.867
Class 1,201,-0.39,-0.39
Class 1,202,-0.961,-0.957
Class 1,203,-0.512,-0.512
Class 1,204,,-0.519
Class 1,207,0.511,
Class 1,209,0.963,0.963
Class 1,210,0.724,0.724
Class 1,211,,-0.256
Class 1,213,0.631,
Class 1,216,0.679,0.679
Class 1,219,0.136,0.956
Class 1,220,-0.955,-0.955
Class 1,222,0.258,0.258
Class 1,223,-0.548,-0.548
Class 1,224,-0.679,-0.779
Class 1,225,,-0.149
Class 1,226,-0.81,-0.489
Class 1,228,,0.357
Class 1,229,0.529,-0.733
Class 1,232,-0.552,-0.609
Class 1,236,0.223,0.223
Class 1,238,0.229,0.738
Class 1,239,0.494,0.861
Class 1,240,0.671,0.671
Class 1,241,0.932,0.932
Class 1,242,0.282,0.691
Class 1,243,0.675,0.675
Class 1,247,,0.475
Class 1,252,0.788,0.788
Class 1,257,-0.594,-0.248
Class 1,258,,0.763
Class 1,260,0.571,0.571
Class 1,261,0.905,0.905
Class 1,263,,0.693
Class 1,269,-0.675,-0.675
Class 1,270,0.766,0.918
Class 1,272,0.157,
Class 1,273,0.426,
Class 1,275,0.199,0.973
Class 1,276,0.348,
Class 1,277,0.761,
Class 1,280,,0.748
Class 1,288,-0.825,-0.766
Class 1,289,,0.608
Class 1,291,-0.03,-0.03
Class 1,293,,0.291
Class 1,294,,-0.812
Class 1,295,,0.128
Class 1,298,-0.189,-0.189
Class 1,301,-0.331,-0.331
Class 1,302,-0.893,-0.851
Class 1,303,-0.62,0.986
Class 1,304,0.32,0.971
Class 1,309,0.137,
Class 1,311,0.975,0.977
Class 1,313,-0.043,
Class 1,314,0.936,
Class 1,315,-0.83,-0.83
Class 1,316,0.81,0.81
Class 1,320,0.818,0.818
Class 1,324,,-0.865
Class 1,326,,-0.994
Class 1,327,-0.782,-0.782
Class 1,329,-0.781,-0.781
Class 1,331,0.905,
Class 1,332,0.97,0.97
Class 1,333,,0.586
Class 1,335,,0.853
Class 1,336,0.996,0.998
Class 1,337,0.018,0.898
Class 1,338,-0.412,
Class 1,340,-0.769,-0.769
Class 1,344,-0.883,
Class 1,348,-0.987,
Class 1,352,-0.979,-0.979
Class 1,353,,-0.944
Class 1,359,-0.998,-0.998
Class 1,360,,-0.91
Class 1,362,-0.967,-0.967
Class 1,363,,-0.275
Class 1,364,-0.186,0.996
Class 1,366,0.923,0.923
Class 1,367,0.794,0.794
Class 1,371,-0.677,-0.677
Class 1,372,-0.867,-0.867
Class 1,374,-0.782,-0.847
Class 1,376,-0.983,-0.888
Class 1,381,-0.886,
Class 1,384,,-0.752
Class 1,385,-0.964,-0.831
Class 1,386,0.342,0.342
Class 1,389,-0.282,-0.282
Class 1,391,-0.902,-0.902
Class 1,392,,-0.82
Class 1,393,-0.953,-0.36
Class 1,394,-0.997,-0.333
Class 1,395,-0.888,-0.421
Class 1,396,-0.64,-0.498
Class 1,398,-0.649,-0.563
Class 1,399,-0.752,
Class 1,401,0.433,0.433
Class 1,402,-0.028,-0.028
Class 1,403,-0.442,-0.442
Class 1,404,-0.221,-0.221
Class 1,405,-0.979,-0.979
Class 1,408,,-0.607
Class 1,409,-0.317,
Class 1,410,-0.593,
Class 1,412,-0.668,
Class 1,414,-0.977,-0.068
Class 1,416,-0.622,-0.622
Class 1,418,,-0.242
Class 1,426,-0.843,-0.843
Class 1,427,-0.986,-0.986
Class 1,429,-0.786,-0.786
Class 1,430,-0.971,-0.971
Class 1,431,,-0.928
Class 1,435,,0.443
Class 1,436,,-0.986
Class 1,438,-0.9,
Class 1,440,,0.014
Class 1,442,0.729,0.729
Class 1,449,,-0.9
Class 1,452,0.389,0.965
Class 1,453,0.479,0.479
Class 1,454,,-0.874
Class 1,456,,-0.05
Class 1,459,0.581,0.581
Class 1,460,0.548,
Class 1,461,0.219,0.253
Class 1,464,0.787,
Class 1,467,-0.054,
Class 1,470,0.966,
Class 1,471,0.47,0.726
Class 1,472,-0.733,-0.733
Class 1,473,-0.206,0.094
Class 1,474,,-0.944
Class 1,475,0.987,
Class 1,476,0.033,0.033
Class 1,477,,0.53
Class 1,478,0.254,0.254
Class 1,479,-0.838,
Class 1,483,-0.093,
Class 1,486,0.714,
Class 1,487,0.681,0.681
Class 1,488,0.313,
Class 1,495,0.278,0.278
Class 1,496,-0.344,-0.344
Class 1,497,-0.12,0.263
Class 1,499,0.73,0.73
Class 1,500,-0.222,-0.222
Class 1,501,0.439,
Class 1,503,0.919,0.98
Class 1,504,0.887,0.887
Class 1,505,-0.072,-0.072
Class 1,506,-0.401,0.489
Class 1,507,-0.582,0.444
Class 1,508,0.606,
Class 1,509,-0.661,-0.661
Class 1,510,-0.685,-0.685
Class 1,511,-0.865,-0.693
Class 1,512,0.502,0.86
Class 1,513,0.763,
Class 1,514,-0.104,0.811
Class 1,515,-0.366,-0.366
Class 1,516,-0.295,
Class 1,517,-0.697,-0.697
Class 1,518,0.064,0.131
Class 1,519,0.751,0.993
Class 1,520,0.45,0.802
Class 1,521,0.988,
Class 1,525,0.375,0.375
Class 1,526,0.799,
Class 1,528,-0.193,0.935
Class 1,529,-0.272,0.519
Class 1,530,0.967,0.967
Class 1,531,0.991,0.394
Class 1,533,-0.32,-0.112
Class 1,534,-0.402,0.896
Class 1,536,,-0.669
Class 1,537,,0.489
Class 1,539,0.567,
Class 1,540,-0.271,0.001
Class 1,541,0.389,
Class 1,542,-0.512,-0.261
Class 1,544,0.026,0.9
Class 1,545,0.609,0.866
Class 1,546,-0.106,0.474
Class 1,547,-0.279,-0.047
Class 1,548,-0.044,-0.044
Class 1,549,,0.411
Class 1,551,0.711,0.99
Class 1,552,0.411,0.928
Class 1,553,0.593,0.707
Class 1,558,,0.639
Class 1,560,-0.128,-0.128
Class 1,561,-0.112,0.409
Class 1,565,-0.267,0.715
Class 1,566,0.082,0.189
Class 1,567,-0.596,0.981
Class 1,568,-0.42,-0.42
Class 1,569,,0.588
Class 1,570,-0.369,0.815
Class 1,572,-0.432,-0.122
Class 1,573,-0.174,-0.174
Class 1,574,0.352,0.352
Class 1,576,-0.997,-0.997
Class 1,577,,0.0
Class 1,582,-0.2,
Class 1,583,,-0.567
Class 1,587,-0.275,
Class 1,588,-0.292,0.153
Class 1,592,0.83,
Class 1,593,0.355,
Class 1,594,-0.245,-0.245
Class 1,595,0.675,0.082
Class 1,596,0.963,0.963
Class 1,597,0.933,0.933
Class 1,602,0.524,0.524
Class 1,606,,0.656
Class 1,609,0.219,0.219
Class 1,612,0.348,0.348
Class 1,615,-0.544,-0.347
